@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC

@DATA
5.915E1,4.727E-1,8.508E-7,1.697E3,6.32E-5,3.383E-3,?,1.61E2,?,?,?,-5.849E-1,1.161E-1,-1.318E-1,-7.707E-2,-1.614E-1,-1.223E-1,2.365E-1,1.149E-2,4.795E-3,0E0,1.78E-2,9.139E1,4.928E3,1.975E5,5.659E7,-1.767E3,1.345E1,1.533E-1,-9.57E1,-1.825E0,2.186E0,2.034E3,6.376E0,7.27E-2,2.828E1
5.73E1,4.727E-1,7.847E-7,1.627E3,6.013E-5,3.326E-3,?,1.31E2,?,?,?,-6.301E-1,1.122E-1,-1.607E-1,-1.223E-1,-1.336E-1,-4.843E-2,3.922E-2,2.979E-2,-2.822E-2,0E0,1.702E-2,9.12E1,4.998E3,2.085E5,5.898E7,-1.765E3,1.794E1,2.213E-1,-2.084E2,-3.41E0,3.039E0,6.248E3,2.013E1,2.482E-1,3.811E1
8.753E1,6.914E-1,7.863E-7,1.225E3,4.651E-5,3.257E-3,?,1.57E2,?,?,?,-4.609E-1,5.046E-2,-1.816E-1,1.907E-2,-2.954E-1,-6.714E-2,4.563E-2,-2.623E-2,-3.396E-2,0E0,1.937E-2,1.07E2,5.139E3,8.188E4,4.982E7,-1.761E3,2.243E1,2.764E-1,-3.611E2,-5.383E0,3.748E0,1.402E4,3.659E1,4.509E-1,4.63E1
6.673E1,5.234E-1,6.854E-7,1.57E3,5.208E-5,3.119E-3,?,1.5E2,?,?,?,-5.395E-1,2.042E-1,-1.552E-1,-9.123E-2,-1.661E-1,-5.681E-2,4.065E-2,-2.772E-2,-9.235E-2,0E0,1.654E-2,9.491E1,4.744E3,1.57E5,4.969E7,-1.757E3,2.693E1,2.76E-1,-5.547E2,-6.374E0,3.866E0,2.65E4,5.697E1,5.84E-1,4.857E1
6.39E1,4.883E-1,9.723E-7,1.525E3,5.786E-5,3.393E-3,?,1.54E2,?,?,?,-5.478E-1,2.029E-1,-1.722E-1,-9.656E-2,-8.338E-2,-6.128E-3,9.999E-2,-2.69E-2,-7.678E-2,0E0,1.764E-2,9.551E1,5.003E3,1.745E5,5.607E7,-1.775E3,3.143E1,3.131E-1,-7.89E2,-8.405E0,4.22E0,4.476E4,9.025E1,8.989E-1,5.235E1
6.533E1,5.078E-1,1.048E-6,1.49E3,6.235E-5,3.617E-3,?,1.29E2,?,?,?,-6.286E-1,1.632E-1,-1.768E-1,-9.321E-2,-1.001E-1,-2.674E-2,1.709E-2,-3.275E-2,-3.737E-2,0E0,1.925E-2,9.427E1,4.758E3,1.742E5,5.148E7,-1.755E3,3.593E1,2.655E-1,-1.064E3,-8.099E0,3.763E0,6.991E4,1.036E2,7.652E-1,4.866E1
6.748E1,5.234E-1,8.967E-7,1.444E3,4.989E-5,3.02E-3,?,1.61E2,?,?,?,-5.256E-1,1.603E-1,-1.99E-1,-5.135E-2,-1.806E-1,-5.441E-2,1.382E-1,-4.913E-2,1.585E-2,0E0,1.581E-2,9.686E1,5.029E3,1.648E5,5.508E7,-1.767E3,4.046E1,2.531E-1,-1.381E3,-8.492E0,3.688E0,1.032E5,1.416E2,8.856E-1,4.857E1
6.518E1,5.781E-1,7.088E-7,1.56E3,5.26E-5,3.158E-3,?,1.6E2,?,?,?,-5.378E-1,-3.543E-2,-1.451E-1,1.161E-2,-6.471E-2,-8.714E-2,8.918E-2,-4.555E-3,-2.745E-2,0E0,1.758E-2,9.522E1,5.481E3,2.112E5,6.279E7,-1.76E3,4.5E1,2.297E-1,-1.74E3,-8.469E0,3.571E0,1.459E5,1.681E2,8.577E-1,4.854E1
6.193E1,5.273E-1,8.465E-7,1.276E3,5.623E-5,3.162E-3,?,1.6E2,?,?,?,-5.86E-1,8.053E-2,-1.672E-1,-1.467E-1,-7.916E-2,-9.433E-2,1.299E-1,4.326E-2,-4.717E-3,0E0,1.786E-2,9.38E1,5.156E3,1.892E5,5.77E7,-1.753E3,4.952E1,1.81E-1,-2.138E3,-7.234E0,3.16E0,1.985E5,1.714E2,6.265E-1,4.563E1
5.175E1,4.336E-1,8.722E-7,1.721E3,6.828E-5,3.482E-3,?,1.43E2,?,?,?,-6.093E-1,1.046E-1,-2.754E-1,-3.973E-2,-1.819E-1,-5.631E-2,1.336E-1,-3.423E-2,-8.686E-2,0E0,1.78E-2,8.693E1,4.888E3,1.826E5,5.249E7,-1.745E3,5.403E1,1.144E-1,-2.577E3,-4.752E0,2.555E0,2.625E5,1.544E2,3.268E-1,4.059E1
5.394E1,4.688E-1,9.398E-7,1.728E3,5.502E-5,3.117E-3,?,1.48E2,?,?,?,-5.925E-1,1.118E-1,-2.42E-1,-8.452E-2,-1.777E-1,-4.08E-2,1.368E-1,-4.558E-2,9.519E-3,0E0,1.555E-2,8.811E1,4.765E3,1.817E5,5.258E7,-1.744E3,5.855E1,4.738E-2,-3.057E3,-1.793E0,1.909E0,3.389E5,1.148E2,9.293E-2,3.452E1
6.752E1,4.961E-1,6.758E-7,1.647E3,5.674E-5,3.28E-3,?,1.8E2,?,?,?,-5.379E-1,1.543E-1,-1.157E-1,-1.464E-1,-2.23E-1,-8.807E-2,4.935E-2,-7.28E-3,2.202E-2,0E0,1.772E-2,9.593E1,4.781E3,1.557E5,5.115E7,-1.75E3,6.305E1,-3.261E-4,-3.576E3,5.38E-1,1.37E0,4.285E5,6.525E1,-3.374E-4,2.899E1
6.827E1,5.781E-1,6.839E-7,1.457E3,5.063E-5,3.2E-3,?,1.57E2,?,?,?,-5.083E-1,9.08E-2,-1.691E-1,-1.468E-2,-2.067E-1,-1.899E-1,3.097E-2,-1.452E-2,3.074E-2,0E0,1.775E-2,9.738E1,5.256E3,1.746E5,5.761E7,-1.746E3,6.754E1,-5.801E-2,-4.134E3,3.915E0,7.296E-1,5.326E5,-3.778E-1,3.244E-4,2.217E1
6.556E1,5.234E-1,6.258E-7,1.53E3,5.498E-5,3.207E-3,?,1.57E2,?,?,?,-5.731E-1,8.917E-2,-1.882E-1,-3.486E-2,-2.041E-1,-2.949E-3,1.236E-1,-2.319E-2,3.711E-4,0E0,1.77E-2,9.461E1,4.797E3,1.446E5,4.952E7,-1.756E3,7.203E1,-4.014E-2,-4.732E3,2.802E0,8.877E-1,6.521E5,-1.284E1,7.156E-3,2.353E1
4.771E1,4.219E-1,9.973E-7,1.614E3,7.151E-5,3.381E-3,?,1.51E2,?,?,?,-5.73E-1,1.038E-1,-2.193E-1,-1.619E-2,-2.646E-1,-1.563E-1,1.06E-1,-9.964E-2,-2.876E-2,0E0,1.673E-2,9.103E1,4.891E3,1.71E5,5.417E7,-1.742E3,7.651E1,-5.977E-2,-5.369E3,4.174E0,8.404E-1,7.879E5,-6.106E1,4.77E-2,2.365E1
8.078E1,6.133E-1,1.049E-6,1.738E3,4.758E-5,3.019E-3,?,1.64E2,?,?,?,-5.092E-1,1.277E-1,-2.298E-1,1.333E-2,-2.428E-1,-8.158E-3,1.287E-1,-1.829E-3,-1.777E-2,0E0,1.662E-2,1.019E2,4.662E3,9.613E4,4.624E7,-1.761E3,8.098E1,-4.741E-2,-6.045E3,3.549E0,1.033E0,9.411E5,-4.692E1,2.747E-2,2.594E1
